URN,LA,Estab,SCHOOLTYPE,NOR,NORG,NORB,PNORG,PNORB,TSENELSE,PSENELSE,TSENELK,PSENELK,NUMEAL,NUMENGFL,NUMUNCFL,PNUMEAL,PNUMENGFL,PNUMUNCLF,NUMFSM,NUMFSMEVER,NORFSMEVER,PNUMFSMEVER
100000,201,3614,State-funded primary,249,112,137,44.98%,55.02%,12,4.82%,45,18.07%,150,99,0,60.20%,39.80%,0,58,52,209,24.88%
100001,201,6005,Independent school,780,780,0,100.00%,0.00%,0,0.00%,99,12.69%,,,,,,,,NA,NA,0.00%
100002,201,6006,Independent school,285,116,169,40.70%,59.30%,0,0.00%,29,10.18%,,,,,,,,NA,NA,0.00%
100003,201,6007,Independent school,1074,0,1074,0.00%,100.00%,0,0.00%,161,14.99%,,,,,,,,NA,NA,0.00%
100005,202,1048,State-funded nursery,116,49,67,42.24%,57.76%,0,0.00%,19,16.38%,17,99,0,14.70%,85.30%,0,33,NA,NA,0.00%
100006,202,1100,State-funded AP school,31,11,20,35.48%,64.52%,3,9.68%,28,90.32%,9,22,0,29.00%,71.00%,0,24,25,31,80.65%
100007,202,1101,State-funded AP school,19,1,18,5.26%,94.74%,14,73.68%,5,26.32%,7,12,0,36.80%,63.20%,0,16,17,19,89.47%
100008,202,2019,State-funded primary,278,144,134,51.80%,48.20%,11,3.96%,57,20.50%,233,45,0,83.80%,16.20%,0,169,158,255,61.96%
100009,202,2036,State-funded primary,409,206,203,50.37%,49.63%,16,3.91%,63,15.40%,188,221,0,46.00%,54.00%,0,175,161,377,42.71%
100010,202,2065,State-funded primary,288,150,138,52.08%,47.92%,22,7.64%,56,19.44%,162,126,0,56.30%,43.80%,0,202,183,251,72.91%
100011,202,2078,State-funded primary,394,194,200,49.24%,50.76%,8,2.03%,73,18.53%,69,325,0,17.50%,82.50%,0,156,136,336,40.48%
100013,202,2184,State-funded primary,204,93,111,45.59%,54.41%,7,3.43%,75,36.76%,165,39,0,80.90%,19.10%,0,104,98,179,54.75%
100014,202,2219,State-funded primary,215,97,118,45.12%,54.88%,4,1.86%,49,22.79%,98,117,0,45.60%,54.40%,0,117,107,191,56.02%
100015,202,2290,State-funded primary,228,110,118,48.25%,51.75%,5,2.19%,51,22.37%,146,82,0,64.00%,36.00%,0,117,107,203,52.71%
