"TIME_PERIOD","TIME_IDENTIFIER","TRUST_GROUP_TYPE","TRUST_NAME","TRUST_UID","TRUST_ID","TRUST_COMPANIES_HOUSE_NUMBER","TRUST_UKPRN","TRUST_LEADREGION","INSTITUTIONS_MATPTINC","NUMINST_MATPTINC","NUMINST_CONVERTER_MATPTINC","NUMINST_SPONSOR_MATPTINC","NUMINST_FREE_MATPTINC","NUMINST_STUDIO_MATPTINC","NUMINST_UTC_MATPTINC","NUMINST_FSM6CLA1A_MATPTINC","NUMINST_3_MATPTINC","NUMINST_4_MATPTINC","NUMINST_5PLUS_MATPTINC","TPUP_MATPTINC","KS2ASS_MATPTINC","PFSM6CLA1A_MATPTINC","PNOTFSM6CLA1A_MATPTINC","PEALGRP2_MATPTINC","PSEN_ALL4_MATPTINC","ATT8SCR_WGTAVG","P8MEACOV","P8MEA_WGTAVG","P8CILOW","P8CIUPP","PTL2BASICS_95_WGTAVG","EBACCAPS_WGTAVG","PTEBACC_95_WGTAVG","PTEBACC_94_WGTAVG","PTEBACC_E_PTQ_EE_WGTAVG","ATT8SCR_WGTAVG_FSM6CLA1A","P8MEA_WGTAVG_FSM6CLA1A","P8CILOW_FSM6CLA1A","P8CIUPP_FSM6CLA1A","PTL2BASICS_95_WGTAVG_FSM6CLA1A","EBACCAPS_WGTAVG_FSM6CLA1A","PTEBACC_95_WGTAVG_FSM6CLA1A","PTEBACC_94_WGTAVG_FSM6CLA1A","PTEBACC_E_PTQ_EE_WGTAVG_FSM6CLA1A","ATT8SCR_WGTAVG_NFSM6CLA1A","P8MEA_WGTAVG_NFSM6CLA1A","P8CILOW_NFSM6CLA1A","P8CIUPP_NFSM6CLA1A","PTL2BASICS_95_WGTAVG_NFSM6CLA1A","EBACCAPS_WGTAVG_NFSM6CLA1A","PTEBACC_95_WGTAVG_NFSM6CLA1A","PTEBACC_94_WGTAVG_NFSM6CLA1A","PTEBACC_E_PTQ_EE_WGTAVG_NFSM6CLA1A","P8_BANDING","INSTITUTIONS_INMAT","NUMINST_INMAT","NUMINST_CONVERTER_INMAT","NUMINST_SPONSOR_INMAT","NUMINST_FREE_INMAT","NUMINST_STUDIO_INMAT","NUMINST_UTC_INMAT","TPUP_INMAT","PFSM6CLA1A_INMAT","PNOTFSM6CLA1A_INMAT"
"202425","Academic year","Multi-academy trust","Abbey Multi Academy Trust","2046","TR00002","7705552","10059141","Yorkshire and the Humber","137036;137083;144809","3","1","2","0","0","0","3","0","0","3","587","NA","31.00%","69.00%","25.00%","12.00%","45.1","NA","NA","NA","NA","42.10%","3.97","14.70%","22.30%","45.30%","36.4","NA","NA","NA","29.90%","3.18","8.20%","14.10%","30.40%","49.1","NA","NA","NA","47.60%","4.34","17.60%","26.10%","52.10%","NA","137036;137083;144809","3","1","2","0","0","0","587","31.00%","69.00%"
"202425","Academic year","Multi-academy trust","Lift Schools","2053","TR00008","6625091","10033736","East of England","133768;135651;135652;135653;135957;136147;136208;136753;137138;137188;138435;138439;138585;138728;138920;138985;139047;139048;139118;139276;139334","21","2","19","0","0","0","21","1","0","20","3805","NA","37.00%","63.00%","17.00%","21.00%","40.7","NA","NA","NA","NA","36.20%","3.5","11.20%","16.20%","32.20%","32.5","NA","NA","NA","21.80%","2.74","5.70%","9.40%","24.50%","45.5","NA","NA","NA","44.70%","3.94","14.40%","20.10%","36.60%","NA","133768;135651;135652;135653;135957;136147;136208;136753;137138;137188;138435;138439;138585;138728;138920;138985;139047;139048;139118;139276;139334","21","2","19","0","0","0","3805","37.00%","63.00%"
"202425","Academic year","Multi-academy trust","Academy Transformation Trust","2062","TR00015","7846852","10039859","East of England","138918;139043;139058;139062;139063;139288;139578;139867;139937;142594","10","4","6","0","0","0","10","0","0","10","1520","NA","36.00%","64.00%","15.00%","20.00%","40","NA","NA","NA","NA","33.20%","3.52","11.60%","21.40%","44.10%","32.8","NA","NA","NA","21.10%","2.82","7.20%","13.90%","31.90%","44","NA","NA","NA","39.80%","3.9","14.10%","25.50%","50.80%","NA","138918;139043;139058;139062;139063;139288;139578;139867;139937;142594","10","4","6","0","0","0","1520","36.00%","64.00%"
"202425","Academic year","Multi-academy trust","The Active Learning Trust Limited","2075","TR00024","7903002","10059514","East of England","138177;138373;139272","3","1","2","0","0","0","3","0","0","3","644","NA","36.00%","64.00%","10.00%","14.00%","36.8","NA","NA","NA","NA","29.80%","3.13","5.60%","9.80%","25.80%","29.8","NA","NA","NA","17.80%","2.5","1.70%","3.90%","18.30%","40.7","NA","NA","NA","36.50%","3.49","7.70%","13.00%","30.00%","NA","138177;138373;139272","3","1","2","0","0","0","644","36.00%","64.00%"
"202425","Academic year","Multi-academy trust","Education Partnership Trust","3016","TR00059","7950891","10059591","North West","138233;141028;142088","3","0","1","2","0","0","3","0","0","3","488","NA","30.00%","70.00%","10.00%","14.00%","44.7","NA","NA","NA","NA","38.70%","3.93","13.50%","21.30%","43.60%","37.5","NA","NA","NA","27.90%","3.23","7.50%","13.60%","32.70%","47.7","NA","NA","NA","43.40%","4.23","16.10%","24.60%","48.40%","NA","138233;141028;142088;150966","4","0","2","2","0","0","645","29.00%","71.00%"
"202425","Academic year","Multi-academy trust","Arden Multi Academy Trust","5671","TR00078","7375267","10058364","West Midlands","135971;136333;136991;137008","4","3","1","0","0","0","4","0","0","4","854","NA","19.00%","81.00%","7.00%","15.00%","52.5","NA","NA","NA","NA","56.90%","4.57","23.10%","31.10%","41.80%","39.4","NA","NA","NA","28.00%","3.28","12.80%","19.50%","26.80%","55.7","NA","NA","NA","63.80%","4.88","25.50%","33.90%","45.40%","NA","135971;136333;136991;137008","4","3","1","0","0","0","854","19.00%","81.00%"
"202425","Academic year","Multi-academy trust","Ark Schools","2157","TR00081","5112090","10044534","London","131752;135242;135315;135389;135584;135600;135965;135970;137578;138245;138267;138518;138681;139718;139815;139821;140014;141019;141752;146318;147061;147832","22","1","15","6","0","0","22","0","0","22","3362","NA","53.00%","47.00%","48.00%","18.00%","47.7","NA","NA","NA","NA","47.80%","4.43","24.90%","37.30%","64.90%","43.3","NA","NA","NA","40.10%","3.97","18.30%","30.00%","59.90%","52.6","NA","NA","NA","56.40%","4.96","32.40%","45.60%","70.60%","NA","131752;135242;135315;135389;135584;135600;135965;135970;137578;138245;138267;138518;138681;139718;139815;139821;140014;141019;141752;146318;147061;147832","22","1","15","6","0","0","3362","53.00%","47.00%"
"202425","Academic year","Multi-academy trust","Consilium Academies","15728","TR00082","9495671","10061209","North East","138314;143845;144199;144200;144937;144990;145490","7","4","3","0","0","0","7","0","0","7","995","NA","37.00%","63.00%","16.00%","17.00%","39.6","NA","NA","NA","NA","33.10%","3.28","5.10%","7.60%","12.80%","31.4","NA","NA","NA","19.00%","2.56","1.60%","2.90%","7.20%","44.6","NA","NA","NA","41.50%","3.72","7.20%","10.50%","16.10%","NA","138314;143845;144199;144200;144937;144990;145490","7","4","3","0","0","0","995","37.00%","63.00%"
"202425","Academic year","Multi-academy trust","The Arthur Terry Learning Partnership","2166","TR00089","7730920","10034759","West Midlands","136986;137209;138136;138137;144721;146493","6","5","1","0","0","0","6","1","0","5","1082","NA","33.00%","67.00%","12.00%","16.00%","44.2","NA","NA","NA","NA","40.40%","3.9","16.10%","23.40%","41.20%","35.4","NA","NA","NA","22.40%","3.06","7.10%","13.50%","30.20%","48.5","NA","NA","NA","49.20%","4.31","20.50%","28.20%","46.60%","NA","136986;137209;138136;138137;144721;146493","6","5","1","0","0","0","1082","33.00%","67.00%"
"202425","Academic year","Multi-academy trust","The Two Counties Trust","16093","TR00097","7972029","10059639","East Midlands","137158;137981;142725;142741;144391;145109;145966;146451;147400","9","7","2","0","0","0","9","0","0","9","1904","NA","29.00%","71.00%","4.00%","15.00%","43.7","NA","NA","NA","NA","39.90%","3.81","12.10%","19.70%","31.40%","33.1","NA","NA","NA","20.50%","2.82","4.80%","9.20%","20.10%","47.9","NA","NA","NA","47.70%","4.21","15.00%","23.90%","35.90%","NA","137158;137981;142725;142741;144391;145109;145966;146451;147400","9","7","2","0","0","0","1904","29.00%","71.00%"
